Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012
"060372190203","15000US060372190203","Block Group 3, Census Tract 2190.20, Los Angeles County, California","Block Group 3, Census Tract 2190.20, Los Angeles County, California","ca","150","00","ACSSF","0015882",,,,,"06","037",,,,"219020","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,351,211,140,0,102,0,0,0,12,0,0
"060372314001","15000US060372314001","Block Group 1, Census Tract 2314, Los Angeles County, California","Block Group 1, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016053",,,,,"06","037",,,,"231400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,362,232,130,52,0,35,0,45,62,0,0
"060372314002","15000US060372314002","Block Group 2, Census Tract 2314, Los Angeles County, California","Block Group 2, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016054",,,,,"06","037",,,,"231400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,251,80,171,73,75,28,9,0,0,17,0
"060372314003","15000US060372314003","Block Group 3, Census Tract 2314, Los Angeles County, California","Block Group 3, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016055",,,,,"06","037",,,,"231400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,468,285,183,8,37,29,0,0,0,0,0
"060372315002","15000US060372315002","Block Group 2, Census Tract 2315, Los Angeles County, California","Block Group 2, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016057",,,,,"06","037",,,,"231500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,370,370,0,14,18,30,54,0,0,0,0
"060372315003","15000US060372315003","Block Group 3, Census Tract 2315, Los Angeles County, California","Block Group 3, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016058",,,,,"06","037",,,,"231500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,360,360,0,0,0,0,0,86,14,0,0
"060372340001","15000US060372340001","Block Group 1, Census Tract 2340, Los Angeles County, California","Block Group 1, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016103",,,,,"06","037",,,,"234000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,666,635,31,18,24,49,10,21,6,0,0
"060372340002","15000US060372340002","Block Group 2, Census Tract 2340, Los Angeles County, California","Block Group 2, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016104",,,,,"06","037",,,,"234000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,262,262,0,0,0,0,0,0,0,0,0
"060372340003","15000US060372340003","Block Group 3, Census Tract 2340, Los Angeles County, California","Block Group 3, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016105",,,,,"06","037",,,,"234000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,262,262,0,0,0,0,0,0,6,0,0
"060372340004","15000US060372340004","Block Group 4, Census Tract 2340, Los Angeles County, California","Block Group 4, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016106",,,,,"06","037",,,,"234000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,281,244,37,55,0,49,26,0,0,0,0
"060372340005","15000US060372340005","Block Group 5, Census Tract 2340, Los Angeles County, California","Block Group 5, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016107",,,,,"06","037",,,,"234000","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,242,222,20,81,11,0,21,0,0,0,0
"060372342001","15000US060372342001","Block Group 1, Census Tract 2342, Los Angeles County, California","Block Group 1, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016108",,,,,"06","037",,,,"234200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,360,353,7,30,0,0,0,0,0,0,0
"060372342002","15000US060372342002","Block Group 2, Census Tract 2342, Los Angeles County, California","Block Group 2, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016109",,,,,"06","037",,,,"234200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,160,160,0,0,29,35,30,9,0,0,0
"060372342003","15000US060372342003","Block Group 3, Census Tract 2342, Los Angeles County, California","Block Group 3, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016110",,,,,"06","037",,,,"234200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,356,322,34,0,29,107,0,0,0,10,0
"060372343001","15000US060372343001","Block Group 1, Census Tract 2343, Los Angeles County, California","Block Group 1, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016111",,,,,"06","037",,,,"234300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,306,149,157,73,351,121,98,0,21,0,0
"060372343002","15000US060372343002","Block Group 2, Census Tract 2343, Los Angeles County, California","Block Group 2, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016112",,,,,"06","037",,,,"234300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,90,46,44,130,124,162,30,0,0,0,0
"060372343003","15000US060372343003","Block Group 3, Census Tract 2343, Los Angeles County, California","Block Group 3, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016113",,,,,"06","037",,,,"234300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,87,87,0,29,132,175,0,0,0,0,0
"060372343004","15000US060372343004","Block Group 4, Census Tract 2343, Los Angeles County, California","Block Group 4, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016114",,,,,"06","037",,,,"234300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,143,143,0,59,115,168,65,0,0,0,0
