Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_B14001_001,SE_B14001_002,SE_B14001_003,SE_B14001_004,SE_B14001_005,SE_B14001_006
"060372190203","15000US060372190203","Block Group 3, Census Tract 2190.20, Los Angeles County, California","Block Group 3, Census Tract 2190.20, Los Angeles County, California","ca","150","00","ACSSF","0015883",,,,,"06","037",,,,"219020","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,167,46,115,33,9
"060372340001","15000US060372340001","Block Group 1, Census Tract 2340, Los Angeles County, California","Block Group 1, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016104",,,,,"06","037",,,,"234000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,147,140,146,56,145
"060372340002","15000US060372340002","Block Group 2, Census Tract 2340, Los Angeles County, California","Block Group 2, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016105",,,,,"06","037",,,,"234000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,44,58,22,14,129
"060372340003","15000US060372340003","Block Group 3, Census Tract 2340, Los Angeles County, California","Block Group 3, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016106",,,,,"06","037",,,,"234000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,14,47,28,25,133
"060372340004","15000US060372340004","Block Group 4, Census Tract 2340, Los Angeles County, California","Block Group 4, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016107",,,,,"06","037",,,,"234000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,219,71,117,112,98
"060372340005","15000US060372340005","Block Group 5, Census Tract 2340, Los Angeles County, California","Block Group 5, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016108",,,,,"06","037",,,,"234000","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,105,102,36,0,22
"060372342001","15000US060372342001","Block Group 1, Census Tract 2342, Los Angeles County, California","Block Group 1, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016109",,,,,"06","037",,,,"234200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,72,87,26,81,74
"060372342002","15000US060372342002","Block Group 2, Census Tract 2342, Los Angeles County, California","Block Group 2, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016110",,,,,"06","037",,,,"234200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,86,59,35,18,91
"060372342003","15000US060372342003","Block Group 3, Census Tract 2342, Los Angeles County, California","Block Group 3, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016111",,,,,"06","037",,,,"234200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,166,35,83,21,189
"060372343001","15000US060372343001","Block Group 1, Census Tract 2343, Los Angeles County, California","Block Group 1, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016112",,,,,"06","037",,,,"234300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805,311,221,109,64,100
"060372343002","15000US060372343002","Block Group 2, Census Tract 2343, Los Angeles County, California","Block Group 2, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016113",,,,,"06","037",,,,"234300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,204,68,109,33,45
"060372343003","15000US060372343003","Block Group 3, Census Tract 2343, Los Angeles County, California","Block Group 3, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016114",,,,,"06","037",,,,"234300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,198,80,41,41,118
"060372343004","15000US060372343004","Block Group 4, Census Tract 2343, Los Angeles County, California","Block Group 4, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016115",,,,,"06","037",,,,"234300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,152,155,184,62,47
